example_id                                         | status | run_time        |
-------------------------------------------------- | ------ | --------------- |
./spec/controllers/pages_controller_spec.rb[1:1:1] | passed | 0.0041 seconds  |
./spec/controllers/pages_controller_spec.rb[1:2:1] | passed | 0.00394 seconds |
./spec/controllers/pages_controller_spec.rb[1:2:2] | passed | 0.00393 seconds |
./spec/controllers/pages_controller_spec.rb[1:2:3] | passed | 0.00443 seconds |
./spec/controllers/pages_controller_spec.rb[1:2:4] | passed | 0.00416 seconds |
./spec/controllers/pages_controller_spec.rb[1:3:1] | passed | 0.00313 seconds |
./spec/controllers/pages_controller_spec.rb[1:3:2] | passed | 0.00279 seconds |
./spec/controllers/pages_controller_spec.rb[1:3:3] | passed | 0.00432 seconds |
./spec/controllers/pages_controller_spec.rb[1:3:4] | passed | 0.00303 seconds |
./spec/controllers/pages_controller_spec.rb[1:3:5] | passed | 0.00337 seconds |
./spec/controllers/pages_controller_spec.rb[1:3:6] | passed | 0.00558 seconds |
./spec/routing/pages_routing_spec.rb[1:1:1]        | passed | 0.00172 seconds |
./spec/routing/pages_routing_spec.rb[1:1:2]        | passed | 0.00176 seconds |
./spec/routing/pages_routing_spec.rb[1:1:3]        | passed | 0.01606 seconds |
